,text
73,"['RT', '3vatronic', 'Todays', 'trade', '9th', 'April', '2020', 'JPM', 'Earnings', 'expecting', 'rip', 'like', 'earnings', 'move', 'looks', 'almost', 'priced', 'i…']"
74,"['ChrisNawojczyk', 'I’m', 'long', 'XOM', 'short', 'CVX', 'case', 'market', 'spazzes']"
75,"['RT', 'TheRealBudBundy', 'Todays', 'end', 'day', 'stock', 'market', 'summary', 'SPX', 'httpstcoGlJ4AXow3Z']"
76,"['RT', 'SenseiHov', 'ES', 'Updated', 'micro', 'ESF', 'esf', 'getting', 'divergences', 'talking', 'last', 'chart', 'Tons', 'confluence', 'building…']"
77,"['RT', 'ChrisNawojczyk', 'long', 'day', 'capital', 'markets', 'sure', 'nice', 'sit', 'Financial', 'Twitter', 'cup', 'organic', 'hot', 'tea', 'Oil…']"
78,"['RT', 'EnergyCredit1', 'MagFul', 'catelong', 'Ok', 'US', 'company', 'business', 'customers', 'Asia', 'AAPL', 'gonna', 'leave', 'China', 'US', 'company', 'af…']"
79,"['RT', 'R2112YYZ', 'Bill', 'Gates', 'says', 'US', 'government', 'cant', 'wave', 'wand', 'sudden', 'economy', 'anything', 'like', 'coronavirus…']"
80,"['RT', 'chiumeister', 'SEC', 'reports', 'show', 'AAPL', 'CFO', 'Luca', 'Maestri', 'sold', '41062', 'shares', 'Apple', 'average', 'cost', '26444', 'April', '7th', 'brings…']"
81,"['RT', 'WhatTheBit', 'AAPL', 'CFO', 'Luca', 'Maestri', 'DUMPS', '108', 'MILLION', 'WORTH', 'SHARES', 'httpstcoKAOZZ5sT0o']"
82,"['RT', 'desertoflife', 'TommyThornton', 'KentsBrokerage', '2900', 'reasonable', 'Weekly', 'many', 'looks', 'bullish', 'aapl', 'looks', 'good', 'moment']"
83,"['RT', 'MightySoldiers', 'OrderFilled', '029', 'entire', 'account', 'BIOL', '513', 'BIOC', '119', 'OPTIONS', '1169', 'account', 'CCL', '220', 'ZM', '50', '33', '11…']"
84,"['RT', 'TradinTheTrends', 'Ripping', 'us', '50', 'retrace', 'recession', 'Making', 'investors', 'believe', 'FED', 'won’t', 'let', 'drop', 'creating', 'some…']"
85,"['RT', 'MightySoldiers', 'hope', 'everyone', 'great', 'weekend', 'week', 'great', 'options', 'bad', 'couple', 'quick', 'trades', 'tod…']"
86,"['RT', 'IchimokuD', 'April', '910', 'Ichimoku', 'Review', 'SPX', 'AAPL', 'WHR', 'CAT', 'McClellan', 'Jan', '2019', 'httpstcoquCsUdaltM']"
87,"['RT', 'WhatTheBit', 'AAPL', 'CFO', 'Luca', 'Maestri', 'DUMPS', '108', 'MILLION', 'WORTH', 'SHARES', 'httpstcoKAOZZ5sT0o']"
88,"['RT', 'AlienOvichO', 'AAPL', 'long', '256', 'low', 'holding', 'stock', 'still', 'see', 'upside', 'toward', '284', 'another', 'pullback', 'takes…']"
89,"['RT', 'HighDividends', 'Decade', 'Opportunity', 'Buy', '3', 'Durable', 'REITs', 'Income', 'httpstcopFBkq6E3ha', 'investing', 'investors', 'invest…']"
90,"['RT', 'NorthmanTrader', 'repeat', 'Fed', 'recklessly', 'distorting', 'everything', 'JNK', 'SPX', 'httpstcofDHaY5MKUW']"
91,"['RT', 'AlienOvichO', 'Watch', 'video', 'explaining', 'current', 'structure', 'taking', 'place', 'AAPL', 'httpstcoaKp1Oy4qlX', 'elliottwave', 'trading', 'S…']"
92,"['RT', 'BearHillTrading', 'Thank', 'BearBullTraders', 'end', 'week', 'chat', 'room', 'party', 'Little', 'things', 'like', 'mean', 'lot', 'times', 'like', 't…']"
93,"['RT', 'AlienOvichO', 'AAPL', 'Reached', 'extreme', 'area', '215', '188', 'reaction', 'higher', 'took', 'place', 'elliottwave', 'trading', 'httpstco9du…']"
94,"['RT', 'SoslandSeminar', 'US', 'equity', 'markets', 'built', 'weekly', 'gains', 'significant', 'advances', 'Wednesday', 'signs', 'stabilization', 'spread', 'of…']"
95,"['RT', 'stockshound', 'Torque', 'Esports', 'TorqueEsport', 'amp', 'ESPN', 'espn', 'Disney', 'DIS', 'Team', 'bring', 'Esports', 'racing', 'Live', 'Televison', '41120', '1200…']"
96,"['RT', 'TommyThornton', 'Added', 'back', '5', 'ETF', 'shorts', 'late', 'day', 'Ill', 'fight', 'Fed', 'SPX', '2800', 'likely', '20', 'unemployment']"
97,"['httpstco9VjKMnpm7n', 'Independence', 'Realty', 'Trust', '169', '1312', 'million', 'gain', '7761', 'million', 'marketCap', 'IRT', 'represents', '13', '579', 'billion', 'NASDAQNYSE', 'residential', 'reits', 'industry', 'stockMarket', 'stocks', 'trading', 'market', 'investing', 'NASDAQ', 'NYSE', 'httpstcofE5pQPllkA']"
98,"['Torque', 'Esports', 'TorqueEsport', 'amp', 'ESPN', 'espn', 'Disney', 'DIS', 'Team', 'bring', 'Esports', 'racing', 'Live', 'Televison', '41120', '1200', 'ET', 'NASCAR', 'NASCARonNBC', 'FOXNascar', 'espnmma', 'ESPNMusic', 'FoxNews', 'CNN', 'overwatch', 'CallofDuty', 'ApexLegends', 'APEX', 'FortniteOperatives', 'httpstco4eckUwAmev']"
99,"['Established', 'Elliott', 'Wave', 'SP500', 'NDX', 'ES', 'stocks', 'futures', 'day', 'trading', 'httpstcoJryNcq7dRB', 'httpstcoEZgfkOGLgr']"
100,"['SPX', '2800', '50', 'FiB', 'resistance', 'level', 'either', 'go', 'fall', '2600', 'next', 'week', 'Place', 'bets', 'httpstcololeRIbJpJ']"
101,"['RT', 'joepete58', 'Uhhhh', 'guess', 'paid', 'vacation', 'aapl', 'going', 'make', 'earn', 'paycheck', 'UGH', 'fucking', 'phone', 'support', 'whole', 'reason', 'I…']"
102,"['RT', 'OSpreadhacker', 'AAPL', 'May', '1st', '205200195', 'put', 'butterfly', '047', 'profitcontract', 'already', 'banked']"
103,"['RT', 'quakes99', 'Thanks', 'updates', '⏰🙏', 'even', 'stronger', 'close', 'Paladin', 'PDN', '20', 'Boss', 'BOE', '15', 'Bannerman', 'BMN', 'getting', '12…']"
104,"['V', 'Last', 'six', 'months', '44', 'option', 'alerts', 'peaked', '100', 'triggered', 'algo', 'httpstcoMilpmYSlAQ', 'httpstcobX7WhD1n57']"
105,"['hope', 'everyone', 'great', 'weekend', 'week', 'great', 'options', 'bad', 'couple', 'quick', 'trades', 'today', 'well', 'Dont', 'forget', 'Benzingas', 'Options', 'Boot', 'Camp', 'April', '18', 'httpstcoMfLUENeBBi', 'daytrading', 'stocks', 'investing', 'profits', 'options', 'OptionsTrading', 'httpstcoUNWo39gIWL']"
106,"['RT', 'TradeWithNinja', 'SPY', '24820', 'lt——', 'real', 'level', 'defend', 'downside', 'us', 'Bears', 'play', 'ground', 'remains', 'bullish…']"
107,"['BAC', 'Option', 'Order', 'Flow', 'Sentiment', 'Turned', 'Bearish', 'Bullish', 'httpstco0DcKxu7q9B']"
108,"['RT', 'permabearuk', 'AAPL', 'settled', '07', '26799', 'made', 'black', 'candle', 'Red', 'gap', 'likely', 'going', 'get', 'retraced', 'httpstc…']"
109,"['Next', 'weeks', 'game', 'plan', 'painful', 'path', 'higher', '300', 'SPY', 'next', 'week', 'Earnings', 'don’t', 'matter', 'new', 'buyers', 'sellers', 'shorts', 'buying', 'QQQ', 'SPX', 'httpstcoQitjddoSgr']"
110,"['SPY', 'SPX', 'another', 'instance', 'CNBCs', 'homepage', 'displaying', 'dissociative', 'identity', 'disorder', '🤔', 'bulls', 'say', 'priced', 'come', 'cry', 'bailout', 'get', 'wrecked', 'retest', 'lows', '🙄', 'httpstcovyE2NLHvXS']"
111,"['RT', 'JeetenSheth', 'Load', 'AAPL', 'report', 'quarter', 'guidance', 'FED', 'come', 'rescue', 'buying', 'millions', 'iPhones…']"
112,"['RT', 'methinkfree', 'market', 'bottomed', 'yet', 'StockMarket', 'Stocks', 'Dow', 'MAGA', 'Qanon', 'KAG']"
113,"['RT', 'racernic', 'AAPL', 'find', 'right', 'entry', 'points', 'httpstcoW0QQXdm8Bf']"
114,"['SPX', 'weekly', 'back', '10', 'EMA', 'Im', 'planning', 'inside', 'week', 'next', 'week', 'lots', 'chop', '2640', '2800']"
115,"['RT', 'andyfitzgerald', 'MWM76', 'hussmanjp', 'chamath', 'CNBC', 'I’ll', 'start', 'thinking', 'going', 'long', 'market', 'AAPL', '200', 'happen…']"
116,"['long', 'day', 'capital', 'markets', 'sure', 'nice', 'sit', 'Financial', 'Twitter', 'cup', 'organic', 'hot', 'tea', 'Oil', 'got', 'hit', 'hard––bought', 'USO', 'weakness', 'sold', 'GLD', 'calls', 'handsome', 'profit', 'OPECs', '10M', 'bpd', 'cut', 'good', 'news', 'CVX', 'XOM', 'shares', 'OOTT', 'Gold']"
117,"['RT', 'JdMullins2', 'WrittenCuriosi1', 'Yes', 'saw', 'AAPL', 'revised', '2020', 'Q2', 'guidance…', 'people', 'aren’t', 'going', 'buying', 'phones', 'they…']"
118,"['RT', 'SyntheticEquity', 'QTRResearch', 'ScottWapnerCNBC', 'pretty', 'embarassing', 'free', 'market', 'proponents', 'sudden', 'want…']"
119,"['RT', 'LanceRoberts', 'JPM', 'stopped', 'making', 'Small', 'Business', 'Loans', 'outside', 'guaranteed', 'Government', 'FUCK', 'baile…']"
120,"['lololz😂🤣', 'know', 'see', 'permabears', 'crying', 'Fed', 'law', '🤫🤫here’s', 'truth', 'it’s', 'unemployment', 'day', 'bears', '3x', 'short', 'positions', 'blown', 'sky', 'high', 'it’s', 'law🙄', 'investingnews', 'investment', 'stocks', 'bonds', 'investing', 'economy']"
121,"['RT', 'KobeissiLetter', 'SampP', '500', 'SPX', '2008', 'VS', '2020', 'COMPARISON', 'see', 'near', 'identical', 'setup', 'three', 'wave', 'bear', 'market', '2008', 'Bega…']"
122,"['RT', 'BornInvestor', 'Portfolio', 'April', '9th', '2020', 'Performance', 'since', 'Feb', '4th', '2020', 'DIS', '4', 'ROKU', '6', 'LVGO', '30', 'AYX', '17', 'GLOB', '1', 'DDOG', '10…']"
123,"['RT', 'NorthmanTrader', 'SPX', 'finds', 'quarterly', '5', 'EMA', 'moved', 'quite', 'bit', 'rally', 'consider', 'reconnect', 'complete', 'h…']"
124,"['View', 'STANDARD', 'amp', 'POORS', '500', '🏦', '📈📊📉', 'MoneyTrendllc', 'tradingschool', 'options', 'futures', 'forex', 'traders', 'sp500', 'nasdaq', 'nyse', 'cboe', 'tradingcharts', 'BoomWallStreet', 'httpstcojEqTUKxW2W']"
125,"['Markets', 'closed', 'tomorrow', 'enjoy', 'weekend', 'home', '🏠', 'get', 'ready', 'Monday', 'stocks', 'WallStreet', 'bankholiday', 'StockMarket', 'stocktrading', 'httpstconhVxhDZLze']"
126,"['RT', 'davidjfrench', 'seismic', 'shift', 'coming', 'Four', 'biggest', 'lenders', 'US', 'shale', 'setting', 'companies', 'would', 'allow', 'sei…']"
127,"['RT', 'vieiraUAE', 'Alex', 'Vieira', 'Tesla', 'Next', 'Apple', 'Price', 'Target', '1200', 'tesla', 'TSLA', 'AAPL', 'httpstcoPgrSNs3sjj']"
128,"['83', 'Upside', 'week', 'last', 'time', 'downside', 'volume', 'exceeded', '80', 'week', 'week', 'ending', '228', 'downside', 'followed', 'wide', 'range', 'SPX', 'weekly', 'doji', 'candle', 'bottom', 'fell', 'doji', 'week', 'insidedown']"
129,"['RT', 'SenseiHov', 'ES', 'Updated', 'micro', 'ESF', 'esf', 'getting', 'divergences', 'talking', 'last', 'chart', 'Tons', 'confluence', 'building…']"
130,"['V', 'View', 'historical', 'options', 'performance', 'V', 'httpstcoMilpmYSlAQ', 'httpstcoVy2hVP7Bl9']"
131,"['RT', 'davidjfrench', 'seismic', 'shift', 'coming', 'Four', 'biggest', 'lenders', 'US', 'shale', 'setting', 'companies', 'would', 'allow', 'sei…']"
132,"['correlation', 'proven', 'meaningful', 'Supportive', 'thesis', 'protracted', 'market', 'volatility', 'function', 'COVID19', 'containment', 'mitigation', 'SPX', 'ESF', 'VIX', 'httpstcoHTQu0JLNeq']"
133,"['Dow', 'gains', '285', 'points', 'cap', 'epic', 'rally', 'AAPL', 'AMZN', 'NFLX', 'TSLA', 'SPY', 'ROKU', 'httpstcoc1CB6Vo3QI']"
134,"['RT', 'TradeWithNinja', 'SPY', '24820', 'lt——', 'real', 'level', 'defend', 'downside', 'us', 'Bears', 'play', 'ground', 'remains', 'bullish…']"
135,"['RT', 'TommyThornton', 'Added', 'back', '5', 'ETF', 'shorts', 'late', 'day', 'Ill', 'fight', 'Fed', 'SPX', '2800', 'likely', '20', 'unemployment']"
136,"['RT', 'MacroCharts', 'US', 'Economic', 'Uncertainty', 'Index', 'History', 'made', 'highest', 'spike', 'time', '35', 'years', 'data', 'Prior', 'historic', 'spikes…']"
137,"['Alex', 'Vieira', 'Tesla', 'Next', 'Apple', 'Price', 'Target', '1200', 'tesla', 'TSLA', 'AAPL', 'httpstcoPgrSNs3sjj']"
