,text,sentiment
22,"['RT', 'JohriNikhil', '3', '8', 'banks', 'infused', 'confidence', 'capital', 'YesBank', 'sold', 'partial', 'stakes', 'free', 'lockin', 'portion', 'btw…']",negative
23,"['RT', 'Reveretrading', 'promised', 'June', '17', 'Plan', 'Click', 'Picture', 'Expand', '📌', 'Please', 'feel', 'free', 'share', 'like', 'would', 'appreciate', 'su…']",neutral
24,"['8911IT', 'BEST', 'TIME', 'COVER', 'SHORTS', 'banknifty', 'trading', 'stocks', 'stockmarket', 'news', 'gold', 'silver', 'coronavirus', 'Nifty', 'equity', 'portfolio', 'markets', 'research', 'results', 'daytrading', 'finance', 'investments', 'intraday', 'India', 'stockstowatch', 'StocksToTrade', 'httpstcoVjBrk7ugr0']",positive
25,"['RT', 'FreeShyloNow', 'GM', 'Shylobots', '🤖', '🌄☕', '3202🎯', 'LIS🔺', 'ESF', 'SPX', 'SPY', '☝3202🎯📈😈', '3209🎯', '3220🎯', '3229🎯', '3232🎯', '👎', '3202🎯📉🐻', '3194🎯', '3189🎯', '3182🎯', '3177🎯', '31…']",neutral
26,"['cases', 'investing', 'taxable', 'account', 'IRA', 'makes', 'sense', 'you’re', 'high', 'income', 'tax', 'bracket', 'paying', 'lower', 'capital', 'gains', 'tax', 'rate', 'sales', 'could', 'save', 'tax', 'bill', 'stocks', 'markets', 'economy', 'StegentEquity', 'Stegent', 'Equity', 'Advisors', 'Inc', 'httpstcoK6hex2nGOK']",positive
27,"['OfficeSupply', 'orders', 'significantly', 'USA', 'shifted', 'workfromhome', 'See', 'data', 'httpstcoW29QPIicmd', 'Covid19', 'alternativedata', 'HomeOffice', 'OfficeDepot', 'OfficeMax', 'Shopping', 'Staples', 'FedExKinkos', 'USPS', 'DHL', 'TNTExpress', 'ODP', 'CIO', 'FDX', 'UPS', 'HPP', 'HIW', 'HYG', 'AMZN', 'EBAY', 'httpstcomx1GzTY6wo']",positive
28,"['stocks', 'making', 'easy', 'times', 'OptionsTrading', 'new', 'love', 'it’s', 'stay', 'httpstcoNaktOndY98']",positive
29,"['Jul', '14', 'Daily', 'stock', 'market', 'timing', 'forecast', '◆', 'Investing', 'view', 'gt', 'Buy', 'Bullish', '◆', 'Search', 'daily', 'stock', 'market', 'timing', 'forecast', 'httpstcocgw2OmhClQ', '◆', 'UpperLower', 'stock', 'httpstco5iEpNwOVuI', 'httpstcovdb3vvRLNX']",positive
30,"['RT', 'leadlagreport', 'Several', 'large', 'corporations', 'stopping', 'advertising', 'Facebook', 'either', 'till', 'July', 'whole', 'year', 'these…']",negative
31,"['AMZN', 'nice', 'little', 'coiling']",positive
32,"['TOS', 'frozen', 'anyone', 'else', 'esf', 'spx', 'spy', 'options', 'futures', 'clf', 'forex']",neutral
33,"['NASDAQ', 'Emini', 'Futures', 'NQF', '⬆️', '7725', 'Points', '073', '107205', 'futurestrading', 'future', 'NASDAQ100', 'Investment', 'investing', 'invest', 'investor', 'investors', 'stock', 'stocks', 'StockMarket', 'httpstcomzotIguudf', 'httpstcojAJH0jEmGH', 'httpstcoV3OkdJwJEL']",positive
34,"['Tenaris', 'TS', 'Stock', 'Rating', 'Upgraded', 'Goldman', 'Sachs', 'Group', 'httpstcoFJKAZWC9bg', 'stocks']",positive
35,"['RT', 'ThePitBoss16', 'Google', 'Stock', 'Soars', 'Near', '10', 'Earnings', 'Alphabet', 'Inc', 'Class', 'NASDAQ', 'GOOGL', 'Market', 'Reaction', 'hours', '134600', '1…']",positive
36,"['DYK', 'May', '22', '2020', 'UONE', 'trading', '128', 'today', 'it’s', 'opening', '2150', 'put', '1000', 'B4', '26th', 'IDK', 'proud', 'Unless', 'you’re', 'White', 'haven’t', 'donated', 'money', 'back', 'Black', 'community', 'Don’t', 'would', 'nice', 'JS', 'stocks', 'httpstcoyVKpZIVN7G']",positive
37,"['httpstcoPj9Gu287hf', 'SAM', 'IntradayTrendEnd', 'httpstcoO6wkep5G2a']",neutral
38,"['RT', 'jadid', 'Green', 'suites', 'StockMarket', 'market', 'continues', 'rebound', 'erasing', 'earlier', 'losses', 'DJI', 'NDX', 'SPX', 'RUT', 'MarketUpdate', 'https…']",positive
39,"['qqq', 'detected', 'noticeable', 'rise', 'Zeitgeist', 'Invesco', 'QQQ', 'Trust', 'httpstcoRAhgfFVkoM', 'Visit', 'DataSwarm', 'Markets', 'information', 'STOCKS', 'NASDAQ', 'DataSwarm', 'ref', '101873']",positive
40,"['dropped', '30', 'know', '😏😏']",negative
41,"['LEGO', 'LEGOCity', 'set', '60132', 'Service', 'Station', '2016', 'Release', 'LEGOVehicles', 'LEGOcars', 'AFOL', 'LEGObricks', 'CollectibleToys', 'Toys', 'SP500', 'stocks', 'instafollow', 'legoresaleprices', 'LEGOblocks', 'top10best', 'top10LEGO', 'httpstcoEBLT5fdutd']",neutral
42,"['RT', 'SheepKnowMore', 'Fake', 'outrage', 'FB', 'invaluable', 'Deep', 'State', 'electioninterference', 'tool', 'Tantrums', 'like', 'FakeNews', 'media', 'al…']",negative
43,"['ESF', 'Needs', 'trade', '90s', '26402650', 'deck', 'today', 'SPY', 'SPX', 'httpstcozTkybafvh6']",neutral
44,"['Told', 'ya', 'CNBCFastMoney', 'Tesla', 'tsla', 'another', '75', 'today', 'far', 'today', '1011', 'rate', 'we’ll', '2k', 'end', 'June', '😉', 'tesla', 'ev', 'cnbc', 'stocks', 'stockmarket', 'space', 'batteries', 'cybertruck', 'teslasemi', 'httpstcokurTilLYSq']",positive
45,"['RT', 'conkers3', 'HTVIOLA', 'wheeliedealer', 'Thank', 'u4', 'generous', 'feedback', 'Henry👏', 'Pete', 'amp', 'focused', 'learning', 'amp', 'improving', 'investing…']",positive
46,"['That’s', 'right', 'We’re', 'facing', 'prospect', 'long', 'deep', 'recession', 'yet', 'stock', 'prices', 'surged', '45', 'matter', 'weeks', 'stay', 'calm', '—', 'keep', 'taking', 'shots', 'Stocks', 'Investing', 'httpstcosKV4idhlVy']",positive
47,"['DHI', 'Group', 'DHX', 'Price', 'Target', 'Cut', '425', 'Analysts', 'B', 'Riley', 'httpstcoiVhKwDicqV', 'stocks']",negative
48,"['RT', 'vincent13031925', 'Biggest', 'mistakes', 'century', 'Apple', 'AAPL', 'PC', 'maker', 'Amazon', 'AMZN', 'bookstore', 'Goo…']",negative
49,"['Available', 'onhand', 'stocks', 'REGULAR', 'CYTOKIT', 'text', '09653052991', 'pampalaglag', 'cytotec', 'cytoteckit', 'abortion', 'mifepristone', 'misoprostol', 'abortionpills', 'abortionphilippines', 'cytotecphilippines', 'cytokitphilippines', '09653052991', 'httpstco7azgTj5r47']",neutral
50,"['Week', '24', 'Mon', 'PM', 'Recap', 'spx', '302375', 'breakout', '3040', '3055', '3070', 'httpstcoBpOhEm4Qoc', 'httpstcoOz1OY6FuhI']",positive
51,"['Check', 'story', 'DowJones', 'highest', 'score', 'V', 'MMM', 'MCD', 'httpstco8zP8MKc2dK', 'httpstcouc6PfL9S6o']",positive
52,"['RT', 'Lakshmi888', 'called', 'highs', 'SPX', '33xxmost', 'called', '3500', 'called', 'lt1800', 'SPX', '2175I', 'called', 'reversal', 'called', '3000…']",positive
53,"['omgwtf2011', 'BearingtonTrade', 'made', 'dollar', 'back', '🤣🤣🤣🤣', 'httpstcowmKK5XErq0']",positive
54,"['Amazon', 'thriving', 'retail', 'sector', 'takes', 'severe', 'beating', 'Covid19', 'httpstcoGzEIw6uTWS', 'retail', 'Walmart', 'Amazon', 'WMT', 'AMZN', 'TGT', 'DG', 'Macys', 'Dollar', 'General', 'Coronavirus', 'Covid19', 'Pandemic', 'shutdown', 'epidemic', 'httpstco8b0fIxe4GC']",negative
55,"['Nomura', 'Increases', 'Tractor', 'Supply', 'TSCO', 'Price', 'Target', '9500', 'httpstcoMKWK2oCfnz', 'stocks']",positive
56,"['FANG', 'Diamondback', 'Energy', 'Quality', 'Guidance', 'Management', 'httpstcou70RjddJYE', 'finance', 'stocks', 'business']",positive
57,"['📺Available', 'view', 'demand', 'Cycles', 'Time', 'COVIDー19', 'bcaresearchs', 'strategist', 'Mathieu', 'Savary', 'Watch', 'webinar', '👉', 'httpstcoM7ViH92nFC', 'bonds', 'stocks', 'investors', 'funds', 'httpstcoyZUCaLqWGu']",neutral
58,"['RT', 'ZacksResearch', 'Whats', 'shortterm', 'outlook', 'Disney', 'DIS', 'httpstcoR4lUsdzaeV']",neutral
59,"['Tenaris', 'SA', 'TS', 'Expected', 'Post', 'Quarterly', 'Sales', '114', 'Billion', 'httpstcoVoQrURiDDx', 'stocks']",neutral
60,"['RT', 'JackChappleSci', 'China', 'Buying', 'Worlds', 'PortsAnd', 'One', 'Talking', 'httpstcoh8vvMo2tLT', 'china', 'business', 'longbe…']",positive
61,"['RT', 'FacelessTrader', 'work', 'home', 'oh', 'oh', 'oh', 'oh', 'Fifth', 'Harmony', 'httpstcoZPFeSKXUDa', 'dont', 'care', 'Goldman', 'Sachs', 'downgrad…']",positive
62,"['RT', 'TheHedgeHouse', 'DLPN', 'ONE', 'day', 'removed', 'misguided', 'article', 'intentionally', 'published', 'Benzinga', '🤔', 'Please', 'u…']",neutral
63,"['Remember', 'turn', 'start', 'preparing', 'greatest', 'market', 'crash', 'history', 'say', 'like', 'see', 'TSLA', 'SPY', 'GILD', 'ABBV', 'PFE', 'TEVA', 'TDOC', 'VIX', 'VXX', 'UVXY', 'SVXY', 'SPX', 'GOOG', 'AMZN', 'FB', 'httpstcoOhukyvRnIm']",negative
64,"['Analysts', 'Expect', 'GreenSky', 'Inc', 'GSKY', 'Announce', 'Quarterly', 'Sales', '10406', 'Million', 'httpstcolI3jhYZz97', 'stocks']",neutral
65,"['ESF', 'CLF', 'NQF', 'GOLD', 'OOTT', 'OATT', 'SPY', 'SPX', 'Trading', 'Forex', 'forexsignals', 'EURUSD', 'GBPUSD', 'OPEC', 'Volatility', 'VIX', 'VXX', 'Futures', 'SP500', '6EF', '6BF', 'httpstco09OqZw6DOg']",neutral
66,"['AMZN', 'Amazon', 'Pay', '500M', 'Bonuses', 'Employees', 'Worked', 'June', 'httpstcoKBf02J6Sk1']",positive
67,"['CNBCFastMoney', 'AAPL', 'DUMP', 'DUMP', 'OVERVALUED', 'EXPENSIVE', 'JUNK']",negative
68,"['GoldmanSachs', 'es', 'sp500', 'usdollar', 'euro', 'aussiedollar', 'poundsterling', 'still', 'uncertain', 'direction', 'dollar', 'euro', 'bounced', 'lows', 'httpstco6UTsTHOWiN']",negative
69,"['Weekly', 'High', 'Frequency', 'Indicators', 'Nowcast', 'Retreats', 'Slightly', 'httpstco2jjkUEBSPC', 'stockmarket', 'stocks', 'trading']",neutral
70,"['RT', 'ChrisCarreon06', 'Beautiful', 'box', 'ESF', 'SPX', 'forming', 'week', 'guys', 'know', 'comes', 'next']",positive
71,"['RT', 'RedDogT3', 'spx', 'intraday', 'look', 'levels', 'thoughts', 'httpstco41qBwfESDv']",neutral
72,"['BYND', '20', 'since', 'entry', 'last', 'week', 'Price', 'blasted', 'one', 'PLL', 'zone', 'today', 'stopped', 'second', 'want', 'see', 'support', 'PLL', 'zone', '150', 'stocks', 'httpstcoC0CaebstL5']",positive
73,"['ABG', 'Sundal', 'Collier', 'TF', 'Bank', 'AB', 'TF', 'Bank', 'Loan', 'loss', 'level', '180bp', 'qoq', 'PBLL', 'Q2’20', 'slightly', 'lower', 'ABGSC', 'consensus', 'Loan', 'loss', 'level', 'came', '370bp', '180bp', 'vs', 'Q1’20', 'Share', 'outperform', 'loan', 'loss', 'relief', 'httpstcogrKEYWzpv9', 'equity', 'stocks', 'httpstcoyXYhT8Jf0G']",negative
74,"['Apple', 'Option', 'Alert', 'Jul', '17', '380', 'Calls', 'Sweep', '6', 'Bid', '450', '3652', 'vs', '3833', 'OI', 'Earnings', '728', 'Close', 'est', 'Ref', '35805', 'AAPL']",negative
75,"['Picked', 'amzn', '3300', 'earnings', 'around', '22', 'work', 'runs', 'earnings']",positive
76,"['RT', 'Northst18363337', 'Gold', 'especially', 'silver', 'could', 'experience', 'one', 'hell', 'spike', 'Stay', 'calm', 'ready', 'take…']",negative
77,"['SPX', 'Implied', 'Volatility', 'expiration', '05152020', 'maxpain', 'options', 'httpstcotFrmDjCFsa', 'httpstcoNz0K9K6U6b']",negative
78,"['America', 'people', 'believe', 'buying', 'stocks', 'national', 'identity', 'sworn', 'duty', 'society', 'SPX', 'SPY']",positive
79,"['GOOG', 'AAPL', 'SPY', 'AMZN', 'TDOC', 'TSLA', 'COST', 'BA', 'NFLX', 'NVDA', 'TWTR', 'ZM', 'BABA', 'FB', 'DOW', 'MSFT', 'QQQ', 'BB', 'enhance', 'experience', 'trading', 'get', 'instant', 'help', 'click', 'httpstcowaJXnpA7xo', 'httpstcop94fTX4VO5']",positive
80,"['RT', 't0themo0n', 'Top', 'stocks', 'buy', 'weekin', 'order', '1', 'KTOV', 'huge', 'announcements', 'coming', 'week', '🚀📈', '2', 'IDEX', '3', 'BIOC', '4', 'XSPA', '5', 'SH…']",positive
81,"['RT', 'stebottaioli', 'SPX', 'protect', 'httpstco5yuv3AEV5f']",negative
82,"['RT', 'AlertTrade', 'algotrading', 'algotrade', 'SPX', 'SPY', 'AMZN', 'AAPL', 'FB', 'SHOP', 'NVDA', 'GOOGL', 'PAYX', 'ASPU', 'SMPL', 'WBA', 'BBBY', 'LEVI', 'SGH', 'MSM', 'HELE', 'AZ…']",neutral
83,"['Dow', 'rises', 'Wall', 'Street', 'focuses', 'easing', 'coronavirus', 'lockdowns', 'amid', 'civil', 'unrest', 'httpstcoSUw6IaN5Kz', 'SFIX', 'PFE', 'CSCO', 'STX', 'DKS', 'ZM']",positive
84,"['September', 'lol', '41pts', '1', 'minute', '😮', 'esf', 'spx', 'spy', 'httpstcojIBi7qoBqz']",neutral
85,"['Youre', 'gonna', 'want', 'miss', 'Benzingas', 'last', 'Boot', 'Camp', 'great', 'one', 'could', 'even', 'better', 'httpstcobqaWKdNXVY', 'DayTrading', 'stocks', 'investing', 'profits', 'httpstco3SqJn6wuiB']",positive
86,"['Another', 'day', 'another', 'overnight', 'bid', 'higher', 'Gotta', 'love', 'low', 'volume', 'overnight', 'rallies', 'key', 'support', 'levels', 'spx', 'spy', 'httpstcoDFsBzOtO27']",positive
87,"['40pts', 'nqf', 'Made', 'back', 'plus', '😁', 'esf', 'line', '318081', 'Bias', 'area', '3192', 'Cant', 'short', 'nqf', '10688', 'esf', 'spx', 'spy', 'httpstco1AssSMIzlZ']",negative
88,"['ES1', 'RSI', 'Divergence', 'Signal', 'Exchange', 'PRIMEXBT', 'Symbol', 'ES1', 'Timeframe', '1H', 'Signal', 'Bearish', 'Divergence', 'Date', '06232020', '710', 'PM', 'Trade', 'SP500', 'Using', 'Crypto', 'httpstcognPhDvSijn', 'httpstcoF3V9579jDp']",negative
89,"['RT', 'kpak82', 'AAPL', 'weekly', 'httpstcovKGRLlIrkD']",neutral
90,"['Brokerages', 'Expect', 'Canadian', 'National', 'Railway', 'CNI', 'Announce', 'Earnings', '091', 'Per', 'Share', 'httpstcoqF29Rzh2oP', 'stocks']",positive
91,"['NetWire', 'RAT', 'Targeting', 'Taxpayers', 'Spreading', 'via', 'Legacy', 'Microsoft', 'Excel', '40', 'Macro', 'MSFT', 'httpstco1yvirAzJf4', 'Security', 'INFOSEC', 'NETSEC', 'Cybersecurity', 'APPSEC']",neutral
92,"['Proud', 'owner', 'AMZN', 'stock', 'thing', 'might', 'help', 'retire', 'next', 'year', 'pay', 'yacht']",positive
93,"['RT', 'dynamicvol', 'Feels', 'like', 'market', 'moved', '1st', 'order', 'virus', 'count', '2nd', 'order', 'oil', 'solvency', 'effects', 'week', 'SPX', 'V…']",positive
94,"['Cerus', 'Co', 'CERS', 'Post', 'FY2020', 'Earnings', '044', 'Per', 'Share', 'Cantor', 'Fitzgerald', 'Forecasts', 'httpstcoIaND4ABRzj', 'stocks']",negative
95,"['AHH', 'AHHPA', 'Armada', 'Hoffler', 'Properties', 'Inc', 'AHH', 'CEO', 'Michael', 'OHara', 'Q1', '2020', 'Results', 'Earnings', 'Call', 'Transcript', 'httpstcohrBkQkE0dY', 'business', 'trading', 'stocks']",neutral
96,"['AMZN', 'Amazon', 'establishes', 'new', 'aerospace', 'cloud', 'unit', 'httpstcoiU2uOt4XDb']",positive
97,"['Chinese', 'authorities', 'appear', 'spooked', 'success', 'getting', 'investors', 'crazy', 'stocks', 'State', 'funds', 'cut', 'stakes', 'big', 'insurer', 'PICC', 'tech', 'firms', 'sending', 'signal', 'China', 'wants', 'curb', 'frenzy', 'httpstcoQhPSmAHZEj']",negative
98,"['FB', 'Sentiment', 'neutral', 'right', 'News', 'mentions', 'positive', '7', 'negative', '27', 'neutral', '38', 'Sentiment', 'score', '0111', 'scale', '15', '15', 'Stock', 'alerts', 'news', 'research', 'tools', 'httpstcoQkw92RLxV8']",neutral
99,"['RT', 'ISABELNETSA', '🇺🇸', 'SampP', '500', 'chart', 'compares', 'SampP', '500', 'today', 'vs', '192930', 'investors', 'underestimated', 'far', 'Fed', 'would', 'g…']",negative
100,"['bostonchaahhts', '“best', 'qtr', 'since', '87”', 'doesn’t', 'make', 'little', 'nervous', 'means', 'keep', 'buying', 'TSLA', 'AMZN', 'NFLX', 'RDFN', 'CMG', 'Otherwise', 'may', 'good', 'time', 'take', 'little', 'justsaying', 'cc', 'mchaudhry82', 'traderstewie', 'Terri1618', 'johnscharts', 'httpstcoQT4F4t1Jn5']",positive
101,"['SPY', 'SPX', 'SPXS', 'SPXL', 'SPXU', 'Technical', 'Analysis', 'SP500', 'think', 'might', 'headed', 'httpstcowzZGqQPX91']",neutral
102,"['RT', 'Investingcom', 'BREAKING', 'FACEBOOK', 'SHARES', 'TUMBLE', '8', 'AMID', 'ADS', 'BOYCOTT', 'FB', 'httpstco2fTlsYo3l2']",negative
103,"['Servicing', 'Chartered', 'Accountants', 'StockAdviosry', 'Advisory', 'Stocks', 'investment', 'httpstcoAtAUE3OANn']",neutral
104,"['JPM', 'C', 'FISV', 'WFC', 'Stimulus', 'Payments', 'Slow', 'Online', 'Banking', 'httpstco8bsaP4P9C2']",negative
105,"['RT', 'Stash', 'It’s', 'week', 'Treat', 'yo’', 'self', 'JNJ', 'StashStockParty', 'May', 'Fest', 'Day', '6', '🧴➡️httpstco96ocgRtnHN', 'httpstco64jJxDy0qB']",positive
106,"['WMT', 'tends', 'act', 'quite', 'strong', 'recessions', 'Something', 'keep', 'mind', 'ppl', 'pointing', 'AMZN', 'reason', 'bullish', 'economy', 'Despite', 'worthless', 'industry', 'classification', 'dont', 'use', 'discretionary', 'WMT', 'online']",positive
107,"['RT', 'Reveretrading', 'July', '9', 'Plan', '📌', 'Click', 'Picture', 'Expand', 'always', 'grateful', 'feedback', 'guys', 'give', 'Best', 'luck', 't…']",positive
108,"['VF', 'VFC', 'Research', 'Coverage', 'Started', 'BTIG', 'Research', 'httpstcozKoR3WIqU8', 'stocks']",neutral
109,"['Twitter', 'Share', 'Data', 'Users', 'Advertisers', 'themotleyfool', 'stocks', 'TWTR', 'httpstcoFP4E8ZZgs0']",positive
110,"['RT', 'only1sidehustle', 'thinking', 'buying', 'BRKB', 'Dont', 'WarrenBuffett', 'loves', 'dividends', 'wont', 'pay', 'any…']",negative
111,"['RT', 'Madison89421615', 'Probably', 'nothing', 'worry', '“invisible', 'enemy”', 'spy', 'spx', 'qqq', 'eem', 'iwm', 'aapl', 'fb', 'googl', 'nflx', 'amzn…']",negative
112,"['twtr', 'msft', 'amzn', 'qqq', 'fb', 'nflx', 'xspa', 'googl', 'mrna', 'penn', 'nvda', 'aapl', 'spy', 'spx', 'Futures', 'bynd', 'mark', 'xspa', 'tmdi', 'RobinhoodTraders', 'SundayThoughts', 'SundayMotivation', 'GenZ', 'Millennials', 'GenX', 'DelMonte', 'holarchy', 'wholeparts', 'turtlesupdown', 'Retweet', 'part', 'humanity', 'httpstcoHRt2RfDu6i']",neutral
113,"['GlaxoSmithKline', 'sounds', 'like', 'snobby', 'law', 'firm', 'ThatOneAMCall', 'GSK', 'picking', '757', 'million', 'PM', 'tacking', 'another', 'billion', 'dollars', 'premarket', 'Tuesday', 'Big', 'sharks', 'taking', '24', 'million', 'call', 'options', 'EIX', 'Dow', 'futures', 'nice', 'overnight', 'rebound', 'Eyes', 'MSFT', 'httpstcoF4lOMwY4Fz', 'httpstcoqqFhvGYp1S']",positive
114,"['think', 'wife', 'qualifies', 'job', 'Fed', 'she’s', 'buying', 'tons', 'crap', 'since', 'Covid19', 'stopped', 'economy', 'SPX', 'ESF', 'SPY']",negative
115,"['BIDU', 'SAVE', 'WORK', 'AAPL', 'C', 'MSFT', 'XLF', 'SPY', 'FB', 'CHWY', 'PTON', 'DIS', 'F', 'ADBE', 'CSCO', 'JPM', 'CCL', 'MGM', 'IWM', 'HD', 'V', 'TWTR', 'XLE', 'XOM', 'enhance', 'experience', 'trading', 'get', 'instant', 'help', 'click', 'httpstcoo02HlQ7vQI', 'httpstcohIMMPsGVB0']",positive
116,"['💥💥💥💥', 'FTXP', '0005', '66', 'FIRE', 'BIG', 'TIME😉', 'tradingpennystocks', 'StocksToTrade', 'OTCMarkets', 'SmallCaps', 'stockpicks', 'PUMPING', 'news', 'StockAlert', 'Daytrader', 'microcap', 'stocks', 'trading', 'PENNYSTOCK', 'Investors', 'PressRelease', 'lowfloat']",positive
117,"['last', 'week', 'trading', 'closed', 'today’s', 'day', 'trading', 'closed', '46335', 'return', '737', 'Want', 'know', 'stocks', 'M1', 'Pie', 'Check', 'video', 'StocksToTrade', '2020', 'M1', 'Finance', 'Portfolio', 'Challenge', 'httpstcoB1h1GmNGQp', 'httpstcoJ9wk9h4Lri']",positive
118,"['RCL', 'lost', '16', 'Mondays', 'worst', 'performing', 'SPX', 'stock', 'NCLH', 'lost', '12', 'HOG', 'lost', '9', 'TDG', 'CAT', 'GPS', 'SIVB', 'UAL', 'LB', 'closed', '8', 'day', 'trading']",negative
119,"['RT', 'Rollinopi', 'PBTU', 'PTGEF', 'mighty', 'Merck', 'Tweeting', 'Intensity', 'httpstcotsIYjhYrC4', 'especially', 'like', 'bit', 'Here’s', 'p…']",positive
120,"['Step', 'Back', 'Define', 'Edges', 'Wait', 'httpstcouFWuhP96ck', 'trading', 'stocks', 'money', 'fridaythoughts', 'trend', 'trends']",neutral
